image_name,iou,dice,pixel_accuracy,n_predicted,n_true,true_positives,false_positives,false_negatives,precision,recall,f1_score
a246bcaa64af48ee5ca181cd594c0fc43466e7614406eb8bc01199a16ebc95d0,0.7102560495216658,0.8305844609879488,0.9371490478515625,36,36,36,0,0,1.0,1.0,1.0
f4b7c24baf69b8752c49d0eb5db4b7b5e1524945d48e54925bff401d5658045d,0.8630351548903585,0.9264829518916394,0.99039306640625,7,9,7,0,1,1.0,0.875,0.9333333333333333
8d9b4205ddb10fa49a2973b4f3a2dc6923407ae015081e1a52c4b4c2fe8faa53,0.9373873873873874,0.9676819344338526,0.995758056640625,33,33,33,0,0,1.0,1.0,1.0
1bd0f2b3000b7c7723f25335fabfcdddcdf4595dd7de1b142d52bb7a186885f0,0.9501981019073067,0.9744631593867379,0.9833179012345679,20,21,20,0,1,1.0,0.9523809523809523,0.975609756097561
c3bec1066aae20f48b82975e7e8b684cd67635a8baf211e4d9e3e13bc54c5d06,0.7192221150755385,0.836683182200617,0.89337158203125,56,61,56,0,2,1.0,0.9655172413793104,0.9824561403508771
f7e5dcfc9c93183c668c5a4ab028d5faad54fb54298711f2caae0508aa978300,0.8039805600555427,0.8913406029506094,0.958642578125,23,25,23,0,1,1.0,0.9583333333333334,0.9787234042553191
2ad489c11ed8b77a9d8a2339ac64ffc38e79281c03a2507db4688fd3186c0fe5,0.9330985915492958,0.9653916211293261,0.9985504150390625,9,9,9,0,0,1.0,1.0,1.0
aa83f5b4fca02ae43a6b9456ab42707b0beabc6e7c5c4e66c0d2572fb80f3615,0.91350531107739,0.9547977795400476,0.998260498046875,7,8,7,0,1,1.0,0.875,0.9333333333333333
aaa52100fafaa50877e777229cdf6cde7c422f145ff6719449b80631d9a3b0f6,0.9251417727663894,0.9611154730043383,0.9812527630415562,123,124,122,1,3,0.991869918699187,0.976,0.9838709677419355
1a75e9f15481d11084fe66bc2a5afac6dc5bec20ed56a7351a6d65ef0fe8762b,0.8358556461001164,0.9105897273303741,0.9978485107421875,9,7,7,2,0,0.7777777777777778,1.0,0.8750000000000001
e5a6c5e01e6a4ef676a2d975374e995dd55792ea317a8e110bebc37da83a4ce8,0.9141672547635851,0.95515922392737,0.9973115605658709,25,25,25,0,0,1.0,1.0,1.0
442c4eb0185698fe7d148c108a46f74abd399aecda2f4f22981a1671cd95dd7d,0.8503110711340979,0.9191006684221187,0.97562255859375,13,16,13,0,3,1.0,0.8125,0.896551724137931
54cb3328e778d87f76062b0550e3bc190f46384acd8efbe58c297265d1906e84,0.7713125845737483,0.8708938120702827,0.984527587890625,24,27,24,0,3,1.0,0.8888888888888888,0.9411764705882353
bfe8ef193a68a0a86a5e4ae1ddc27bda3f9ffe170494395be4030ba72737c565,0.619886593762657,0.7653456682085261,0.9140777587890625,30,30,30,0,2,1.0,0.9375,0.967741935483871
dd54adb80393de7769b9853c0aa2ee9b240905d0e99c59d4ccd99401f327aa05,0.9487841033823313,0.9737190504947275,0.9874944739168877,117,116,117,0,2,1.0,0.9831932773109243,0.9915254237288135
5c6eb9a47852754d4e45eceb9a696c64c7cfe304afc5ea491cdfef11d55c17f3,0.835990888382688,0.9106699751861043,0.94814453125,21,28,21,0,4,1.0,0.84,0.9130434782608696
6fe2df6de1d962b90146c822bcefc84d0d3d6926fdfbacd3acdc9de830ee5622,0.9260017641129032,0.9615793519684653,0.9740384615384615,154,150,150,4,0,0.974025974025974,1.0,0.9868421052631579
f0c9f135c62572f3669a75b2c735e4477dc77fac85e653426ee2b3bcfbed7aaf,0.930310345830546,0.963897176264955,0.9815123456790124,22,22,22,0,0,1.0,1.0,1.0
97158b2fe38783d88d4e44ba1b7bc6c84f225f8b35fcccc2f9265c65f14e7c8b,0.8450274557657108,0.916005291005291,0.996124267578125,9,12,9,0,3,1.0,0.75,0.8571428571428571
cdab367b30db47061df837c1ae9fa875d6057614f797332d37d3513517d6c694,0.9714833000593536,0.9855354088265481,0.9918441358024691,20,20,20,0,0,1.0,1.0,1.0
